ID,Category,Name,Size,Finish,SingleOrDoubleSided,UnitsPerProduct,PriceType,PricePerSqm,FixedPrice,MinPrice,DesignFee,PolesAvailable,PolePrice,InstallationFee
261,Vehicle Branding ,Vinyl cut stickers - Standard single colors ,800mm L x 100mm H,Gloss ,,1,fixed,,R100.00,,,,,
262,Vehicle Branding ,Vinyl cut stickers - Standard single colors ,900mm L x 100mm H,Gloss ,,1,fixed,,R110.00,,,,,
263,Vehicle Branding ,Vinyl cut stickers - Standard single colors ,1000mm L x 100mm H,Gloss ,,1,fixed,,R120.00,,,,,
264,Vehicle Branding ,Vinyl cut stickers - Standard single colors ,1100mm L x 100mm H,Gloss ,,1,fixed,,R130.00,,,,,
265,Vehicle Branding ,Vinyl cut stickers - Standard single colors ,1200mm L x 100mm H,Gloss ,,1,fixed,,R140.00,,,,,
266,Vehicle Branding ,Vinyl cut stickers - Standard 2 colors ,200mm L x 100mm H,Gloss ,,1,fixed,,R60.00,,,,,
267,Vehicle Branding ,Vinyl cut stickers - Standard 2 colors ,300mm L x 100mm H,Gloss ,,1,fixed,,R70.00,,,,,
268,Vehicle Branding ,Vinyl cut stickers - Standard 2 colors ,400mm L x 100mm H,Gloss ,,1,fixed,,R100.00,,,,,
269,Vehicle Branding ,Vinyl cut stickers - Standard 2 colors ,500mm L x 100mm H,Gloss ,,1,fixed,,R110.00,,,,,
270,Vehicle Branding ,Vinyl cut stickers - Standard 2 colors ,600mm L x 100mm H,Gloss ,,1,fixed,,R120.00,,,,,
271,Vehicle Branding ,Vinyl cut stickers - Standard 2 colors ,700mm L x 100mm H,Gloss ,,1,fixed,,R130.00,,,,,
272,Vehicle Branding ,Vinyl cut stickers - Standard 2 colors ,800mm L x 100mm H,Gloss ,,1,fixed,,R140.00,,,,,
273,Vehicle Branding ,Vinyl cut stickers - Standard 2 colors ,900mm L x 100mm H,Gloss ,,1,fixed,,R150.00,,,,,
274,Vehicle Branding ,Vinyl cut stickers - Standard 2 colors ,1000mm L x 100mm H,Gloss ,,1,fixed,,R160.00,,,,,
275,Vehicle Branding ,Vinyl cut stickers - Standard 2 colors ,1100mm L x 100mm H,Gloss ,,1,fixed,,R170.00,,,,,
276,Vehicle Branding ,Vinyl cut stickers - Standard 2 colors ,1200mm L x 100mm H,Gloss ,,1,fixed,,R180.00,,,,,
277,Vehicle Branding ,Vinyl cut stickers - chrome / halographic ,200mm L x 100mm H,Gloss ,,1,fixed,,R60.00,,,,,
278,Vehicle Branding ,Vinyl cut stickers - chrome / halographic ,300mm L x 100mm H,Gloss ,,1,fixed,,R70.00,,,,,
279,Vehicle Branding ,Vinyl cut stickers - chrome / halographic ,400mm L x 100mm H,Gloss ,,1,fixed,,R100.00,,,,,
280,Vehicle Branding ,Vinyl cut stickers - chrome / halographic ,500mm L x 100mm H,Gloss ,,1,fixed,,R110.00,,,,,
281,Vehicle Branding ,Vinyl cut stickers - chrome / halographic ,600mm L x 100mm H,Gloss ,,1,fixed,,R120.00,,,,,
282,Vehicle Branding ,Vinyl cut stickers - chrome / halographic ,700mm L x 100mm H,Gloss ,,1,fixed,,R130.00,,,,,
283,Vehicle Branding ,Vinyl cut stickers - chrome / halographic ,800mm L x 100mm H,Gloss ,,1,fixed,,R140.00,,,,,
284,Vehicle Branding ,Vinyl cut stickers - chrome / halographic ,900mm L x 100mm H,Gloss ,,1,fixed,,R150.00,,,,,
285,Vehicle Branding ,Vinyl cut stickers - chrome / halographic ,1000mm L x 100mm H,Gloss ,,1,fixed,,R160.00,,,,,
286,Vehicle Branding ,Vinyl cut stickers - chrome / halographic ,1100mm L x 100mm H,Gloss ,,1,fixed,,R170.00,,,,,
287,Vehicle Branding ,Vinyl cut stickers - chrome / halographic ,1200mm L x 100mm H,Gloss ,,1,fixed,,R180.00,,,,,
288,Vehicle Branding ,Bumper Stickers - Single color standard ,150 x 50mm,Gloss ,,50,fixed,,R375.00,,,,,
289,Vehicle Branding ,Bumper Stickers - Chrome / halograhic ,150 x 50mm,Gloss ,,50,fixed,,R475.00,,,,,
290,Vehicle Branding ,Perspex Number Plates standard - Fancy Plates ,520 x 113mm ,Gloss ,,1,fixed,,R200.00,,,,,
291,Vehicle Branding ,Perspex Number Plates standard - Fancy Plates ,440 x 113mm,Gloss ,,1,fixed,,R200.00,,,,,
292,Vehicle Branding ,Perspex Number Plate - Bike custom Sizes ,Free Size ,Gloss ,,1,fixed,,R150.00,,,,,
293,Vehicle Branding ,ABS Number Plates standard - Fancy Plates ,520 x 113mm ,Gloss ,,1,fixed,,R80.00,,,,,
294,Vehicle Branding ,ABS Number Plates standard - Fancy Plates ,440 x 113mm,Gloss ,,1,fixed,,R80.00,,,,,
295,Vehicle Branding ,Digital Print - custom design ,Free Size ,Gloss ,,1,,550,,,,,,
296,Vehicle Branding ,Basic Design single color Graphics - Text only ,Car / Small bakkie / Double cab ,Gloss ,,1,fixed,,R950.00,,,,,
297,Vehicle Branding ,Basic Design 2 color Graphics - Text only ,Car / Small bakkie / Double cab ,Gloss ,,1,fixed,,"R1,350.00",,,,,
298,Vehicle Branding ,Basic Design 2 color with Logo color Graphics - Text only ,Car / Small bakkie / Double cab ,Gloss ,,1,fixed,,"R2,750.00",,,,,
299,Vehicle Branding ,Partial Wrap - Digital Print With lamination ,Car / Small bakkie / Double cab ,Gloss ,,1,fixed,,"R3,500.00",,,,,
300,Vehicle Branding ,Partial Wrap - Digital Print With lamination ,Car / Small bakkie / Double cab ,Gloss ,,1,fixed,,"R5,500.00",,,,,
301,Laser Cutting ,Cake toppers - Standard single color ,A5,Gloss ,,1,fixed,,R120.00,,,,,
302,Laser Cutting ,Cake toppers - Mirror single color ,A5,Gloss ,,1,fixed,,R150.00,,,,,
303,Laser Cutting ,Cake toppers - Mirror 2 color ,A5,Gloss ,,1,fixed,,R180.00,,,,,
304,Laser Cutting ,Cake toppers - Full color with image ,A5,Gloss ,,1,fixed,,R180.00,,,,,
305,Laser Cutting ,3mm MDF wood cutting ,Custom,Standard,,1,,400,,,,,,
306,Laser Cutting ,3mm MDF wood cutting & Engarving ,Custom,Standard,,1,,1200,,,,,,
